Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
DeepBlue Technology,1000000000,4/16/2018,Artificial intelligence,Shanghai,China,Asia,2014,79000000,"DESUN Capital, Yunfeng Capital, Meridian Capital"
Dune Analytics,1000000000,2/2/2022,Data management & analytics,Oslo,Norway,Europe,2018,79000000,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners"
Zihaiguo,1000000000,5/6/2021,Consumer & retail,Chongqing,China,Asia,2018,80000000,"Xingwang Investment Management, China Capital Investment Group, Matrix Partners China"
OrCam Technologies,1000000000,2/20/2018,Artificial intelligence,Jerusalem,Israel,Asia,2010,86000000,"Intel Capital, Aviv Venture Capital"
1KMXC,1000000000,8/30/2021,Hardware,Hangzhou,China,Asia,2014,86000000,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group"
Wenheyou,2000000000,4/17/2021,Other,Hunan,China,Asia,2013,90000000,"Sequoia Capital China, Warburg Pincus, IDG Capital"
The Bank of London,1000000000,11/30/2021,Fintech,London,United Kingdom,Europe,2018,90000000,"Mangrove Capital Partners,14W, ForgeLight"
Morning Consult,1000000000,6/8/2021,Internet software & services,Washington DC,United States,North America,2014,91000000,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems"
JoyTunes,1000000000,6/21/2021,Edtech,Tel Aviv,Israel,Asia,2011,92000000,"Genesis Partners, Aleph, Insight Partners"
Ibotta,1000000000,8/6/2019,Fintech,Denver,United States,North America,2011,93000000,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
Alzheon,1000000000,9/30/2020,Health,Framingham,United States,North America,2013,94000000,"ARCH Venture Partners, Ally Bridge Group"
Retool,2000000000,12/22/2021,Internet software & services,San Francisco,United States,North America,2000,96000000,Sequoia Capital
JOLLY Information Technology,1000000000,5/29/2018,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2008,96000000,"Legend Capital, CDH Investments, Sequoia Capital China"
Earnix,1000000000,2/21/2021,Fintech,Giv'atayim,Israel,Asia,2001,98000000,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
candy.com,2000000000,10/21/2021,Fintech,New York,United States,North America,2021,100000000,"Insight Partners, Softbank Group, Connect Ventures"
Cloudinary,2000000000,2/15/2022,Internet software & services,Santa Clara,United States,North America,2011,100000000,"Blackstone, Bessemer Venture Partners"
Matrixport,1000000000,6/1/2021,Fintech,,Singapore,Asia,2019,100000000,"Dragonfly Captial, Qiming Venture Partners, DST Global"
HAYDON,1000000000,9/24/2021,Consumer & retail,Shanghai,China,Asia,2020,100000000,"Tencent Holdings, Hillhouse Capital Management"
PLACE,1000000000,11/17/2021,Internet software & services,Bellingham,United States,North America,2020,100000000,"Goldman Sachs Asset Management, 3L"
eDaili,2000000000,2/1/2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,101000000,"K2VC, Lightspeed China Partners, Sky9 Capital"
CoinTracker,1000000000,1/27/2022,Fintech,San Francisco,United States,North America,2017,102000000,"Initialized Capital, General Catalyst, Kraken Ventures"
DJI Innovations,8000000000,1/23/2015,Hardware,Shenzhen,China,Asia,2006,105000000,"Accel Partners, Sequoia Capital"
EcoFlow,1000000000,6/10/2021,Hardware,Shenzhen,China,Asia,2017,105000000,"Delian Capital, China International Capital Corporation, Sequoia Capital China"
Numbrs,1000000000,8/22/2019,Fintech,Zurich,Switzerland,Europe,1999,105000000,"Investment Corporation of Dubai, Centralway"
MobileCoin,1000000000,7/7/2021,Fintech,San Francisco,United States,North America,2018,107000000,"General Catalyst, Future Ventures, AU21"
Darwinbox,1000000000,1/25/2022,Internet software & services,Hyderabad,India,Asia,2015,107000000,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners"
CoinDCX,1000000000,8/10/2021,Fintech,Maharashtra,India,Asia,2017,109000000,"Polychain Capital, Coinbase Ventures, Jump Capital"
Clara,1000000000,12/6/2021,Fintech,Mexico City,Mexico,North America,2020,109000000,"DST Global, General Catalyst, Monashees+"
Clubhouse,4000000000,1/24/2021,Mobile & telecommunications,San Francisco,United States,North America,2020,110000000,"Andreessen Horowitz, TQ Ventures"
Masterworks,1000000000,10/5/2021,Fintech,New York,United States,North America,2017,110000000,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"
AgentSync,1000000000,12/7/2021,Fintech,Denver,United States,North America,2018,111000000,"Craft Ventures, Caffeinated Capital, Operator Collective"
Mamaearth,1000000000,12/28/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2016,111000000,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners"
Splashtop,1000000000,1/27/2021,Internet software & services,San Jose,United States,North America,2006,114000000,"Storm Ventures, DFJ DragonFund, New Enterprise Associates"
Black Sesame Technologies,2000000000,9/22/2021,Artificial intelligence,Shanghai,China,Asia,2016,115000000,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
Athletic Greens,1000000000,1/25/2022,Health,New York,United States,North America,2010,115000000,"SC.Holdings, Not Boring Capital, Bolt Ventures"
Apus Group,1000000000,1/16/2015,Mobile & telecommunications,Beijing,China,Asia,2014,116000000,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Marshmallow,1000000000,9/8/2021,Fintech,London,United Kingdom,Europe,2017,116000000,"Passion Capital, Hedosophia, Outrun Ventures"
Phantom,1000000000,1/31/2022,Fintech,San Francisco,United States,North America,2021,118000000,"Paradigm, Andreessen Horowitz, Jump Capital"
Kraken,4000000000,6/25/2019,Fintech,San Francisco,United States,North America,2011,119000000,"Bnk To The Future, Trammell Ventures, SBI Investment"
CoinList,2000000000,10/15/2021,Fintech,San Francisco,United States,North America,2017,119000000,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Afiniti,2000000000,4/14/2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,120000000,GAM Holding
Daily Harvest,1000000000,11/16/2021,E-commerce & direct-to-consumer,New York,United States,North America,2014,120000000,"M13, Lightspeed Venture Partners, Lone Pine Capital"
Tractable,1000000000,6/16/2021,Artificial intelligence,London,United Kingdom,Europe,2014,120000000,"Insight Partners, Ignition Partners, Georgian Partners"
Hive,2000000000,4/21/2021,Artificial intelligence,San Francisco,United States,North America,2013,121000000,"Tomales Bay Capital, Bain & Company, General Catalyst"
Offchain Labs,1000000000,8/31/2021,Internet software & services,Princeton,United States,North America,2018,124000000,"Pantera Capital, Polychain Capital, Lightspeed Venture Partners"
Relativity,4000000000,3/18/2021,Internet software & services,Chicago,United States,North America,2001,125000000,"Silver Lake, ICONIQ Capital"
Worldcoin,3000000000,6/29/2021,Fintech,San Francisco,United States,North America,2019,125000000,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
Star Charge,2000000000,5/19/2021,Auto & transportation,Changzhou,China,Asia,2014,125000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Pet Circle,1000000000,12/6/2021,E-commerce & direct-to-consumer,Alexandria,Australia,Oceania,2011,125000000,"Prysm Capital, Baillie Gifford & Co., TDM Growth Partners"
Minio,1000000000,1/26/2022,Data management & analytics,Palo Alto,United States,North America,2014,126000000,"General Catalyst, Nexus Venture Partners, Dell Technologies Capital"
Stytch,1000000000,11/18/2021,Cybersecurity,San Francisco,United States,North America,2020,126000000,"Index Ventures, Benchmark, Thrive Capital"
1047 Games,2000000000,9/14/2021,Internet software & services,Zephyr Cove,United States,North America,2017,127000000,"VGames, Lakestar, Galaxy Interactive"
Hotmart,1000000000,3/17/2020,E-commerce & direct-to-consumer,Amsterdam,Netherlands,Europe,2011,127000000,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"
Sentry,1000000000,2/18/2021,Other,San Francisco,United States,North America,2011,127000000,"New Enterprise Associates, Accel, Bond"
Turing,4000000000,12/20/2021,Internet software & services,Palo Alto,United States,North America,2018,128000000,"Foundation Capital, Frontier Ventures, AltaIR Capital"
iTrustCapital,1000000000,1/11/2022,Fintech,Long Beach,United States,North America,2018,128000000,"Left Lane Capital, Walden Venture Capital"
Drata,1000000000,11/8/2021,Cybersecurity,San Diego,United States,North America,2020,128000000,"Cowboy Ventures, Leaders Fund, GGV Capital"
Vise,1000000000,5/18/2021,Fintech,New York,United States,North America,2016,128000000,"Sequoia Capital, Founders Fund, Bling Capital"
Temporal,2000000000,2/16/2022,Internet software & services,Bellevue,United States,North America,2019,129000000,"Amplify Partners, Addition, Madrona Venture Group"
Domestika,1000000000,1/27/2022,Internet software & services,Berkeley,United States,North America,2012,130000000,"Zeev Ventures, GSV Ventures"
Rightway,1000000000,3/30/2021,Health,New York,United States,North America,2017,130000000,"Thrive Capital, Khosla Ventures, Tiger Global Management"
Lamabang,1000000000,3/6/2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2011,130000000,"5Y Capital, Matrix Partners China, K2VC"
Printful,1000000000,5/24/2021,Other,Charlotte,United States,North America,2016,130000000,Bregal Sagemount
JimuBox,1000000000,4/21/2015,Fintech,Beijing,China,Asia,2013,131000000,"Matrix Partners China, Ventech China, Shunwei Capital Partners"
Wrapbook,1000000000,11/10/2021,Fintech,New York,United States,North America,2018,131000000,"Equal Ventures, Uncork Capital, Andreessen Horowitz"
Instabase,1000000000,10/21/2019,Data management & analytics,San Francisco,United States,North America,2015,132000000,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
Ivalua,1000000000,5/21/2019,Fintech,Redwood City,United States,North America,2000,134000000,"Ardian, Tiger Global Management, KKR"
Interos,1000000000,7/22/2021,Fintech,Arlington,United States,North America,2005,135000000,"Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock"
Snorkel AI,1000000000,8/9/2021,Artificial intelligence,Palo Alto,United States,North America,2019,135000000,"Greylock Partners, Google Ventures, BlackRock"
Juanpi,1000000000,4/14/2016,E-commerce & direct-to-consumer,Wuhan,China,Asia,2012,136000000,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital"
Jusfoun Big Data,2000000000,7/9/2018,Data management & analytics,Beijing,China,Asia,2010,137000000,"Boxin Capital, DT Capital Partners, IDG Capital"
Hasura,1000000000,2/22/2022,Internet software & services,Bengaluru,India,Asia,2017,137000000,"Nexus Venture Partners, Vertex Ventures, STRIVE"
Verkada,2000000000,1/29/2020,Cybersecurity,San Mateo,United States,North America,2016,139000000,"next47, First Round Capital, Sequoia Capital"
Hosjoy,1000000000,10/18/2018,E-commerce & direct-to-consumer,Nanjing,China,Asia,2009,139000000,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Chief,1000000000,3/31/2022,Other,New York,United States,North America,2019,140000000,"General Catalyst, Inspired Capital, Flybridge Capital Partners"
Cider,1000000000,9/2/2021,E-commerce & direct-to-consumer,,Hong Kong,Asia,2020,140000000,"Andreessen Horowitz, DST Global, IDG Capital"
Playco,1000000000,9/21/2020,Other,Tokyo,Japan,Asia,2020,140000000,"Sozo Ventures, Caffeinated Capital, Sequoia Capital"
Panther Labs,1000000000,12/2/2021,Cybersecurity,San Francisco,United States,North America,2018,141000000,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners"
Cadence,1000000000,12/14/2021,Health,New York,United States,North America,2020,141000000,"Thrive Capital, General Catalyst, Coatue Management"
ID.me,2000000000,3/19/2021,Cybersecurity,McLean,United States,North America,2010,142000000,"Moonshots Capital, BoxGroup, Blu Venture Investors"
Justworks,1000000000,1/28/2020,Internet software & services,New York,United States,North America,2012,143000000,"Index Ventures, Thrive Capital, Bain Capital Ventures"
LayerZero Labs,1000000000,3/30/2022,Internet software & services,New York,United States,North America,2021,143000000,"Andreessen Horowitz, FTX Ventures, Tiger Global Management"
Luoji Siwei,1000000000,7/20/2017,Edtech,Beijing,China,Asia,2012,144000000,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
Moka,1000000000,11/2/2021,Internet software & services,Beijing,China,Asia,2015,144000000,"GGV Capital, GSR Ventures, FreesFund"
Esusu,1000000000,1/27/2022,Fintech,New York,United States,North America,2015,145000000,"Next Play Ventures, Zeal Capital Partners, SoftBank Group"
Preferred Networks,2000000000,5/17/2018,Artificial intelligence,Tokyo,Japan,Asia,2014,147000000,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Oura,3000000000,4/5/2022,Health,Oulu,Finland,Europe,2013,148000000,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Tackle.io,1000000000,12/21/2021,Internet software & services,Boise,United States,North America,2016,148000000,"Andreessen Horowitz, Bessemer Venture Partners, Coatue Management"
Gem,1000000000,9/28/2021,Internet software & services,San Francisco,United States,North America,2017,148000000,"Accel, Greylock Partners, Meritech Capital Partners"
Xiaoe Tech,1000000000,6/15/2021,Internet software & services,Shenzhen,China,Asia,2015,149000000,"GGV Capital, Hillhouse Capital Management, IDG Capital"
Ascend Money,2000000000,9/27/2021,Fintech,Bangkok,Thailand,Asia,2013,150000000,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
Athelas,2000000000,1/31/2022,Health,Mountain View,United States,North America,2016,150000000,"Sequoia Capital, General Catalyst, Human Capital"
Rebellion Defense,1000000000,9/16/2021,Artificial intelligence,Washington DC,United States,North America,2019,150000000,"Venrock, Innovation Endeavors, Insights Partners"
Axiom Space,1000000000,2/16/2021,Other,Houston,United States,North America,2016,150000000,"C5 Capital, Hemisphere Ventures, The Venture Collective"
Cresta,2000000000,3/17/2022,Artificial Intelligence,San Francisco,United States,North America,2017,151000000,"Andreessen Horowitz, Greylock Partners, Sequoia Capital"
Einride,1000000000,12/31/2021,Auto & transportation,Stockholm,Sweden,Europe,2016,151000000,"Temasek, BUILD Capital Partners, Northzone Ventures"
Yidian Zixun,1000000000,10/17/2017,Mobile & telecommunications,Beijing,China,Asia,2021,151000000,"Phoenix New Media, Tianjin Haihe Industry Fund"
News Break,1000000000,1/7/2021,Internet software & services,Mountain View,United States,North America,2015,151000000,"IDG Capital, Francisco Partners, ZhenFund"
Tezign,1000000000,11/2/2021,Internet software & services,Shanghai,China,Asia,2015,151000000,"Sequoia Capital China, Linear Venture, Hearst Ventures"
Strava,2000000000,11/16/2020,Internet software & services,San Francisco,United States,North America,2009,152000000,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
Mercury,2000000000,7/3/2021,Fintech,San Francisco,United States,North America,2019,152000000,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures"
Glia,1000000000,3/21/2022,Fintech,New York,United States,North America,2012,152000000,"Wildcat Capital Management, Insight Partners, Tola Capital"
Dadi Cinema,3000000000,5/11/2016,Other,Shenzhen,China,Asia,2006,154000000,Alibaba Pictures Group
UISEE Technology,1000000000,1/25/2021,"Supply chain, logistics, & delivery",Beijing,China,Asia,2016,154000000,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures"
Shippo,1000000000,6/2/2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,154000000,"Version One Ventures, Uncork Capital, Bessemer Venture Partners"
Alloy,1000000000,9/30/2021,Fintech,New York,United States,North America,2015,156000000,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures"
Freshbooks,1000000000,8/10/2021,Fintech,Toronto,Canada,North America,2004,156000000,"Accomplice, Oak Investment Partners, Georgian Partners"
TrialSpark,1000000000,9/30/2021,Health,New York,United States,North America,2014,156000000,"Sequoia Capital, Thrive Capital, Sound Ventures"
Flipdish,1000000000,1/13/2022,Internet software & services,Dublin,Ireland,Europe,2015,157000000,"Tencent Holdings, Tiger Global Management, Global Founders Capital"
Haomao.AI,1000000000,12/22/2021,Artificial Intelligence,Beijing,China,Asia,2019,157000000,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management"
Sift,1000000000,4/22/2021,Artificial intelligence,San Francisco,United States,North America,2011,157000000,"Union Square Ventures, Insight Partners, Spark Capital"
Qualia,1000000000,12/21/2020,Fintech,San Francisco,United States,North America,2015,160000000,"8VC, Menlo Ventures, Tiger Global Management"
Anyscale,1000000000,12/7/2021,Artificial Intelligence,Berkeley,United States,North America,2019,160000000,"Andreessen Horowitz, Intel Capital, Foundation Capital"
StarkWare,2000000000,11/17/2021,Cybersecurity,Netanya,Israel,Asia,2018,161000000,"Sequoia Capital, Paradigm, Pantera Capital"
Pilot.com,1000000000,3/26/2021,Fintech,San Francisco,United States,North America,2016,161000000,"Index Ventures, Sequoia Capital, Bezos Expeditions"
SmartAsset,1000000000,6/24/2021,Fintech,New York,United States,North America,2012,161000000,"Javelin Venture Partners, TTV Capital, Peterson Ventures"
Phenom People,1000000000,4/7/2021,Internet software & services,Ambler,United States,North America,2011,163000000,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
Sidecar Health,1000000000,1/26/2021,Fintech,El Segundo,United States,North America,2018,163000000,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures"
Vagaro,1000000000,11/3/2021,Internet software & services,Dublin,United States,North America,2009,163000000,FTV Capital
Qingting FM,1000000000,6/2/2021,Internet software & services,Shanghai,China,Asia,2011,164000000,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group"
Figment,1000000000,12/20/2021,Internet software & services,Toronto,Canada,North America,2018,165000000,"Bonfire Ventures, Two Sigma Ventures, FJ Labs"
CaptivateIQ,1000000000,1/26/2022,Fintech,San Francisco,United States,North America,2014,165000000,"Sequoia Capital, Y Combinator, Accel"
Cameo,1000000000,3/30/2021,Internet software & services,Chicago,United States,North America,2016,165000000,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures"
LinkTree,1000000000,3/16/2022,Internet software & services,Melbourne,Australia,Oceania,2016,166000000,"AirTree Ventures, Insight Partners, Index Ventures"
LEAD School,1000000000,1/13/2022,Edtech,Andheri,India,Asia,2012,166000000,"WestBridge Capital, GSV Ventures, Elevar Equity"
Placer.ai,1000000000,1/12/2022,Artificial intelligence,Los Altos,United States,North America,2016,166000000,"Fifth Wall Ventures, JBV Capital, Array Ventures"
Insider,1000000000,2/28/2022,Internet software & services,Istanbul,Turkey,Europe,2012,167000000,"Wamda Capital, Endeavor, Riverwood Capital"
Modern Health,1000000000,2/11/2021,Health,San Francisco,United States,North America,2017,167000000,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund"
Razor,1000000000,11/8/2021,Consumer & retail,Berlin,Germany,Europe,2020,167000000,"Global Founders Capital, 468 Capital, Redalpine Venture Partners"
Kong,1000000000,12/31/2020,Internet software & services,San Francisco,United States,North America,2007,169000000,"New Enterprise Associates, CRV, Index Ventures"
Karat,1000000000,10/13/2021,Internet software & services,Seattle,United States,North America,2014,169000000,"8VC, Norwest Venture Partners, Tiger Global Management"
Lucid,3000000000,6/29/2021,Internet software & services,South Jordan,United States,North America,2010,170000000,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Envoy,1000000000,1/11/2022,Internet software & services,San Francisco,United States,North America,2013,170000000,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital"
BitFury,1000000000,11/6/2018,Hardware,Amsterdam,Netherlands,Europe,2011,170000000,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
TUNGEE,1000000000,12/15/2021,Artificial Intelligence,Guangzhou,China,Asia,2016,171000000,"UNITY VENTURES, Qiming Venture Partners, GGV Capital"
FullStory,2000000000,8/4/2021,Internet software & services,Atlanta,United States,North America,2014,172000000,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
Firefly Aerospace,1000000000,5/4/2021,Other,Cedar Park,United States,North America,2014,172000000,"XBTO Ventures, Raven One Ventures, SK Ventures"
Newsela,1000000000,2/25/2021,Internet software & services,New York,United States,North America,2013,172000000,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners"
Solo.io,1000000000,10/7/2021,Internet software & services,Cambridge,United States,North America,2017,172000000,"True Ventures, Altimeter Capital, Redpoint Ventures"
Intellifusion,1000000000,3/22/2019,Artificial intelligence,Shenzhen,China,Asia,2014,173000000,"BOC International, TopoScend Capital, Hongxiu VC"
Venafi,1000000000,12/10/2020,Cybersecurity,Salt Lake City,United States,North America,2000,174000000,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
Mux,1000000000,4/30/2021,Internet software & services,San Francisco,United States,North America,2015,174000000,"Accel, Cobalt Capital, Andreessen Horowitz"
Veriff,2000000000,1/26/2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,177000000,"Accel, Institutional Venture Partners, Tiger Global Management"
Pristyn Care,1000000000,12/7/2021,Health,Gurugram,India,Asia,2018,177000000,"Sequoia Capital India, Hummingbird Ventures, Epiq Capital"
RIDI,1000000000,1/24/2022,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2008,178000000,"Atinum Investment, Company K Partners, GIC"
Optimism,2000000000,3/17/2022,Internet software & services,San Francisco,United States,North America,2019,179000000,"Paradigm, Huobi Ventures, Andreessen Horowitz"
Wildlife Studios,3000000000,12/5/2019,Other,Sao Paulo,Brazil,South America,2011,180000000,"Benchmark, Bessemer Venture Partners"
Airbyte,2000000000,12/17/2021,Internet software & services,San Francisco,United States,North America,2020,181000000,"Accel, Benchmark, SV Angel"
Away,1000000000,5/15/2019,E-commerce & direct-to-consumer,New York,United States,North America,2015,181000000,"Global Founders Capital, Comcast Ventures, Forerunner Ventures"
Timescale,1000000000,2/22/2022,Internet software & services,New York,United States,North America,2015,181000000,"New Enterprise Associates, Benchmark, Two Sigma Ventures"
CHEQ,1000000000,2/22/2022,Cybersecurity,New York,United States,North America,2014,182000000,"Battery Ventures, Tiger Global Management, Hanaco Ventures"
YH Global,1000000000,9/21/2017,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,1997,182000000,"Co-Energy Finance, Grandland"
Modern Treasury,2000000000,10/6/2021,Fintech,San Francisco,United States,North America,2018,183000000,"Benchmark, Altimeter Capital, Quiet Capital"
SonderMind,1000000000,7/28/2021,Health,Denver,United States,North America,2014,183000000,"Kickstart Fund, General Catalyst, Drive Capital"
GlobalBees,1000000000,12/28/2021,E-commerce & direct-to-consumer,New Delhi,India,Asia,2021,185000000,"Chiratae Ventures, SoftBank Group, Trifecta Capital"
Bringg,1000000000,6/16/2021,"Supply chain, logistics, & delivery",Tel Aviv,Israel,Asia,2013,185000000,"Salesforce Ventures, next47, Pereg Ventures"
Iluvatar CoreX,2000000000,3/1/2021,Hardware,Shanghai,China,Asia,2015,186000000,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
eSentire,1000000000,2/22/2022,Cybersecurity,Waterloo,Canada,North America,2001,186000000,"Edison Partners, Georgian Partners, VentureLink"
Howden Group Holdings,5000000000,9/29/2020,Other,London,United Kingdom,Europe,1994,187000000,"General Atlantic, 3i Group, Huagai Capital"
Inxeption,3000000000,1/13/2022,Fintech,San Francisco,United States,North America,2017,187000000,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
Amperity,1000000000,7/13/2021,Artificial intelligence,Seattle,United States,North America,2016,187000000,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners"
VTS,1000000000,5/7/2019,Internet software & services,New York,United States,North America,2012,187000000,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners"
Changingedu,2000000000,10/30/2017,Edtech,Shanghai,China,Asia,2014,188000000,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
56PINGTAI,1000000000,1/25/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,188000000,"QF Capital, QC Capital, Unicom Innovation Venture Capital"
Valgen Medtech,1000000000,5/6/2021,Health,Hangzhou,China,Asia,2015,188000000,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners"
DailyPay,1000000000,5/18/2021,Fintech,New York,United States,North America,2016,189000000,"RPM Ventures, Inspiration Ventures, Carrick Capital Partners"
SeekOut,1000000000,1/12/2022,Internet software & services,Bellevue,United States,North America,2017,189000000,"Mayfield, Madrona Venture Group, Tiger Global Management"
StoreDot,2000000000,1/4/2022,Other,Herzliya,Israel,Asia,2012,190000000,"Samsung Ventures, SingulariTeam, BP Ventures"
SmartHR,2000000000,6/8/2021,Fintech,Tokyo,Japan,Asia,2013,190000000,"BEENEXT, World Innovation Lab, Light Street Capital"
